Variable,E07_Non_Empty_Count,E07_Total,E07_Percentage,All_Non_Empty_Count,All_Total,All_Percentage,Difference
specialty_name,1473,1473,100.0,26551,26551,100.0,0.0
measurements_ultrasound_category,723,1473,49.08350305498982,4077,26551,15.355353847312719,33.7281492076771
ultrasound1_area_code_id,722,1473,49.015614392396465,4062,26551,15.298858800045195,33.71675559235127
ultrasound_description,719,1473,48.81194840461643,4011,26551,15.106775639335618,33.705172765280814
ultrasound3_date,679,1473,46.09640190088255,3795,26551,14.293246958683289,31.803154942199257
ultrasound2_machine_code_id,646,1473,43.8560760353021,3468,26551,13.06165492825129,30.794421107050812
pulse,136,1473,9.23285811269518,8515,26551,32.070355165530486,-22.837497052835307
bp_diastolic,114,1473,7.739307535641547,8244,26551,31.049677978230577,-23.31037044258903
bp_systolic,114,1473,7.739307535641547,8309,26551,31.294489849723174,-23.555182314081627
prescribed_medication_atc,105,1473,7.128309572301425,6684,26551,25.174193062408197,-18.04588349010677
prescribed_medication,105,1473,7.128309572301425,6696,26551,25.219389100222212,-18.091079527920787
prescribed_medication_active_ingredient,104,1473,7.060420909708079,6653,26551,25.057436631388647,-17.99701572168057
physical3_bmi,63,1473,4.276985743380855,6318,26551,23.795713909080636,-19.51872816569978
physical1_height,63,1473,4.276985743380855,6323,26551,23.814545591503144,-19.53755984812229
physical2_weight,61,1473,4.141208418194162,5805,26551,21.863583292531356,-17.722374874337195
bp_systolic2,59,1473,4.005431093007468,4991,26551,18.797785394147112,-14.792354301139644
bp_diastolic2,58,1473,3.9375424304141213,4886,26551,18.402320063274452,-14.464777632860331
cv_screening5_height,31,1473,2.104548540393754,3241,26551,12.206696546269443,-10.102148005875689
cv_screening7_bmi,31,1473,2.104548540393754,3242,26551,12.210462882753944,-10.10591434236019
cv_screening6_weight,31,1473,2.104548540393754,3232,26551,12.172799517908931,-10.068250977515177
ekg1_description,22,1473,1.4935505770536321,2939,26551,11.069262927949982,-9.57571235089635
measurements_diabetes_data,0,1473,0.0,4,26551,0.0150653459380061,-0.0150653459380061
